English,Georgia
The,განსაზღვრული არ
Adventures,თავგადასავალი
of,*
Tom,სამ ტომად
"Sawyer,","SAWYER,"
novel,რომანი
by,მიერ
Mark,ნიშანი
"Twain,","TWAIN,"
published,გამოქვეყნდა
in,-ში
"1876,","1876,"
that,ის
centres,ცენტრები
on,-ზე
a,განუსაზღვრელი არტიკლი
smart,ჭკვიანი
mischievous,არასწორი
young,ახალგაზრდა
boy,ბიჭი
living,ცხოვრება
in,-ში
a,განუსაზღვრელი არტიკლი
town,ქალაქი
along,გასწვრივ
the,განსაზღვრული არ
Mississippi,მისისიპი
River.,მდინარე.
The,განსაზღვრული არ
satiric,სატირული
work,სამუშაო
is,არის
considered,განიხილება
a,განუსაზღვრელი არტიკლი
classic,კლასიკური
of,*
American,ამერიკელი
"literature,","ლიტერატურა,"
and,და
it,ის
spawned,კოვზი
the,განსაზღვრული არ
hugely,ძალიან
successful,წარმატებული
sequel,სერიალი
The,განსაზღვრული არ
Adventures,თავგადასავალი
of,*
Huckleberry,Huckleberry
Finn,ფინელი
(1884).,(1884).
